scope,metric,n_tasks,n_conditions,broad_rate,certificate_gate_rate,effect,ci_low,ci_high,broad_wrong_gate_correct,broad_correct_gate_wrong
all,protected_oracle_match,96,288,0.11805555555555555,0.3472222222222222,0.22916666666666666,0.1909722222222222,0.2638888888888889,74,8
all,constraint_followed,96,288,0.9444444444444444,0.9513888888888888,0.006944444444444444,0.0,0.017361111111111112,2,0
aggregate_pressure_violation,protected_oracle_match,96,96,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0,0
aggregate_pressure_violation,constraint_followed,96,96,0.8541666666666666,0.8541666666666666,0.0,0.0,0.0,0,0
compliant_suboptimal,protected_oracle_match,96,96,0.08333333333333333,0.0,-0.08333333333333333,-0.14583333333333334,-0.03125,0,8
compliant_suboptimal,constraint_followed,96,96,0.9895833333333334,1.0,0.010416666666666666,0.0,0.03125,1,0
oracle_correct,protected_oracle_match,96,96,0.22916666666666666,1.0,0.7708333333333334,0.6875,0.8541666666666666,74,0
oracle_correct,constraint_followed,96,96,0.9895833333333334,1.0,0.010416666666666666,0.0,0.03125,1,0
