scope,metric,violation_prevalence,expected_gate_minus_broad
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.5700000000000001,0.03135416666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.58,0.030625000000000006
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.59,0.029895833333333337
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.6,0.02916666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.61,0.028437500000000004
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.62,0.027708333333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.63,0.02697916666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.64,0.02625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.65,0.025520833333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.66,0.024791666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.67,0.024062499999999997
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.68,0.02333333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.6900000000000001,0.022604166666666665
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.7000000000000001,0.021874999999999995
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.71,0.021145833333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.72,0.02041666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.73,0.019687500000000004
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.74,0.018958333333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.75,0.018229166666666668
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.76,0.0175
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.77,0.016770833333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.78,0.016041666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.79,0.015312499999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8,0.014583333333333332
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.81,0.013854166666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8200000000000001,0.013124999999999996
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8300000000000001,0.012395833333333328
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.84,0.011666666666666669
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.85,0.010937500000000003
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.86,0.010208333333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.87,0.009479166666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.88,0.00875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.89,0.008020833333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.9,0.007291666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.91,0.006562499999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.92,0.005833333333333331
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.93,0.005104166666666663
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.9400000000000001,0.004374999999999996
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.9500000000000001,0.0036458333333333286
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.96,0.0029166666666666694
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.97,0.002187500000000002
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.98,0.0014583333333333347
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.99,0.0007291666666666674
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,1.0,0.0
mlx-community/Qwen3-8B-4bit,constraint_followed,0.0,0.4895833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.01,0.484375
mlx-community/Qwen3-8B-4bit,constraint_followed,0.02,0.47916666666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.03,0.4739583333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.04,0.46875
mlx-community/Qwen3-8B-4bit,constraint_followed,0.05,0.46354166666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.06,0.45833333333333326
mlx-community/Qwen3-8B-4bit,constraint_followed,0.07,0.45312499999999994
mlx-community/Qwen3-8B-4bit,constraint_followed,0.08,0.4479166666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.09,0.4427083333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.1,0.4375
mlx-community/Qwen3-8B-4bit,constraint_followed,0.11,0.4322916666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.12,0.42708333333333337
mlx-community/Qwen3-8B-4bit,constraint_followed,0.13,0.42187499999999994
mlx-community/Qwen3-8B-4bit,constraint_followed,0.14,0.41666666666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.15,0.4114583333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.16,0.40624999999999994
mlx-community/Qwen3-8B-4bit,constraint_followed,0.17,0.40104166666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.18,0.39583333333333337
mlx-community/Qwen3-8B-4bit,constraint_followed,0.19,0.390625
mlx-community/Qwen3-8B-4bit,constraint_followed,0.2,0.3854166666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.21,0.3802083333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.22,0.375
mlx-community/Qwen3-8B-4bit,constraint_followed,0.23,0.36979166666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.24,0.3645833333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.25,0.359375
mlx-community/Qwen3-8B-4bit,constraint_followed,0.26,0.35416666666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.27,0.3489583333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.28,0.34375
mlx-community/Qwen3-8B-4bit,constraint_followed,0.29,0.3385416666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.3,0.33333333333333326
mlx-community/Qwen3-8B-4bit,constraint_followed,0.31,0.32812499999999994
mlx-community/Qwen3-8B-4bit,constraint_followed,0.32,0.32291666666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.33,0.31770833333333326
mlx-community/Qwen3-8B-4bit,constraint_followed,0.34,0.31249999999999994
mlx-community/Qwen3-8B-4bit,constraint_followed,0.35000000000000003,0.30729166666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.36,0.30208333333333337
mlx-community/Qwen3-8B-4bit,constraint_followed,0.37,0.296875
mlx-community/Qwen3-8B-4bit,constraint_followed,0.38,0.29166666666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.39,0.2864583333333333
mlx-community/Qwen3-8B-4bit,constraint_followed,0.4,0.28124999999999994
mlx-community/Qwen3-8B-4bit,constraint_followed,0.41000000000000003,0.27604166666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.42,0.27083333333333337
mlx-community/Qwen3-8B-4bit,constraint_followed,0.43,0.26562500000000006
mlx-community/Qwen3-8B-4bit,constraint_followed,0.44,0.2604166666666667
mlx-community/Qwen3-8B-4bit,constraint_followed,0.45,0.25520833333333337
mlx-community/Qwen3-8B-4bit,constraint_followed,0.46,0.25
mlx-community/Qwen3-8B-4bit,constraint_followed,0.47000000000000003,0.24479166666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.48,0.23958333333333331
mlx-community/Qwen3-8B-4bit,constraint_followed,0.49,0.234375
mlx-community/Qwen3-8B-4bit,constraint_followed,0.5,0.22916666666666666
mlx-community/Qwen3-8B-4bit,constraint_followed,0.51,0.22395833333333331
mlx-community/Qwen3-8B-4bit,constraint_followed,0.52,0.21875
mlx-community/Qwen3-8B-4bit,constraint_followed,0.53,0.21354166666666663
mlx-community/Qwen3-8B-4bit,constraint_followed,0.54,0.20833333333333331
mlx-community/Qwen3-8B-4bit,constraint_followed,0.55,0.20312499999999997
mlx-community/Qwen3-8B-4bit,constraint_followed,0.56,0.19791666666666663
