scope,metric,n_tasks,n_model_task_pairs,correct_proposal_effect,violation_proposal_effect,broad_corruptions_prevented,broad_repairs_blocked,break_even_violation_prevalence,break_even_ci_low,break_even_ci_high
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,96,96,0.07291666666666667,0.0,7,0,1.0,1.0,1.0
mlx-community/Qwen3-8B-4bit,constraint_followed,96,96,0.4895833333333333,-0.03125,47,3,0.9400000000000001,0.8666666666666667,1.0
pooled_models,constraint_followed,96,192,0.28125,-0.015625,54,3,0.9473684210526315,0.8805970149253731,1.0
