proposal_state,institution,n,exact_rate,compliance_rate,override_rate
aggregate_pressure_violation,action_aware_broad,48,0.1875,0.9791666666666666,1.0
aggregate_pressure_violation,evidence_gate,48,0.1875,0.9791666666666666,0.9791666666666666
aggregate_pressure_violation,no_review,48,0.0,0.0,0.0
compliant_suboptimal,action_aware_broad,48,0.625,0.8958333333333334,0.7708333333333334
compliant_suboptimal,evidence_gate,48,0.0,1.0,0.0
compliant_suboptimal,no_review,48,0.0,1.0,0.0
oracle_correct,action_aware_broad,48,0.0,0.9375,1.0
oracle_correct,evidence_gate,48,1.0,1.0,0.0
oracle_correct,no_review,48,1.0,1.0,0.0
