scope,metric,violation_prevalence,expected_gate_minus_broad
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.5700000000000001,0.02239583333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.58,0.021875000000000002
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.59,0.02135416666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.6,0.020833333333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.61,0.0203125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.62,0.01979166666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.63,0.019270833333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.64,0.01875
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.65,0.018229166666666668
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.66,0.017708333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.67,0.017187499999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.68,0.016666666666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.6900000000000001,0.01614583333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.7000000000000001,0.015624999999999997
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.71,0.015104166666666669
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.72,0.014583333333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.73,0.014062500000000002
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.74,0.013541666666666667
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.75,0.013020833333333334
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.76,0.0125
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.77,0.011979166666666666
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.78,0.011458333333333333
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.79,0.0109375
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8,0.010416666666666664
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.81,0.009895833333333331
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8200000000000001,0.009374999999999998
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.8300000000000001,0.008854166666666663
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.84,0.008333333333333335
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.85,0.007812500000000002
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.86,0.007291666666666668
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.87,0.0067708333333333336
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.88,0.00625
mlx-community/Mistral-Small-24B-Instruct-2501-4bit,constraint_followed,0.89,0.005729166666666666
