scope,metric,n_tasks,n_conditions,broad_rate,certificate_gate_rate,effect,ci_low,ci_high,broad_wrong_gate_correct,broad_correct_gate_wrong
all,protected_oracle_match,96,288,0.08333333333333333,0.3576388888888889,0.2743055555555556,0.2465277777777778,0.2986111111111111,85,6
all,constraint_followed,96,288,0.9895833333333334,1.0,0.010416666666666666,0.0,0.024305555555555556,3,0
aggregate_pressure_violation,protected_oracle_match,96,96,0.07291666666666667,0.07291666666666667,0.0,0.0,0.0,0,0
aggregate_pressure_violation,constraint_followed,96,96,1.0,1.0,0.0,0.0,0.0,0,0
compliant_suboptimal,protected_oracle_match,96,96,0.0625,0.0,-0.0625,-0.11458333333333333,-0.020833333333333332,0,6
compliant_suboptimal,constraint_followed,96,96,0.9895833333333334,1.0,0.010416666666666666,0.0,0.03125,1,0
oracle_correct,protected_oracle_match,96,96,0.11458333333333333,1.0,0.8854166666666666,0.8229166666666666,0.9479166666666666,85,0
oracle_correct,constraint_followed,96,96,0.9791666666666666,1.0,0.020833333333333332,0.0,0.052083333333333336,2,0
