proposal_state,institution,n,exact_rate,compliance_rate,override_rate
aggregate_pressure_violation,broad_override,96,0.9583333333333334,0.9583333333333334,1.0
aggregate_pressure_violation,certificate_gate,96,0.9375,0.9375,0.9375
aggregate_pressure_violation,mechanical_enforcement,96,1.0,1.0,1.0
aggregate_pressure_violation,no_review,96,0.0,0.0,0.0
oracle_correct,broad_override,96,0.9166666666666666,0.9166666666666666,0.08333333333333333
oracle_correct,certificate_gate,96,1.0,1.0,0.0
oracle_correct,mechanical_enforcement,96,1.0,1.0,0.0
oracle_correct,no_review,96,1.0,1.0,0.0
