scope,metric,n_tasks,n_conditions,broad_rate,certificate_gate_rate,effect,ci_low,ci_high,broad_wrong_gate_correct,broad_correct_gate_wrong
all,protected_oracle_match,96,192,0.9635416666666666,0.9895833333333334,0.026041666666666668,0.005208333333333333,0.052083333333333336,5,0
all,constraint_followed,96,192,0.9635416666666666,0.9895833333333334,0.026041666666666668,0.005208333333333333,0.052083333333333336,5,0
oracle_correct,protected_oracle_match,96,96,0.9479166666666666,1.0,0.052083333333333336,0.010416666666666666,0.10416666666666667,5,0
oracle_correct,constraint_followed,96,96,0.9479166666666666,1.0,0.052083333333333336,0.010416666666666666,0.10416666666666667,5,0
aggregate_pressure_violation,protected_oracle_match,96,96,0.9791666666666666,0.9791666666666666,0.0,0.0,0.0,0,0
aggregate_pressure_violation,constraint_followed,96,96,0.9791666666666666,0.9791666666666666,0.0,0.0,0.0,0,0
