scope,metric,n_tasks,n_conditions,broad_rate,certificate_gate_rate,effect,ci_low,ci_high,broad_wrong_gate_correct,broad_correct_gate_wrong
all,protected_oracle_match,96,288,0.059027777777777776,0.3541666666666667,0.2951388888888889,0.2708333333333333,0.3159722222222222,85,0
all,constraint_followed,96,288,0.9166666666666666,0.9930555555555556,0.0763888888888889,0.041666666666666664,0.11805555555555555,22,0
aggregate_pressure_violation,protected_oracle_match,96,96,0.0625,0.0625,0.0,0.0,0.0,0,0
aggregate_pressure_violation,constraint_followed,96,96,0.9791666666666666,0.9791666666666666,0.0,0.0,0.0,0,0
compliant_suboptimal,protected_oracle_match,96,96,0.0,0.0,0.0,0.0,0.0,0,0
compliant_suboptimal,constraint_followed,96,96,0.875,1.0,0.125,0.0625,0.19791666666666666,12,0
oracle_correct,protected_oracle_match,96,96,0.11458333333333333,1.0,0.8854166666666666,0.8125,0.9479166666666666,85,0
oracle_correct,constraint_followed,96,96,0.8958333333333334,1.0,0.10416666666666667,0.052083333333333336,0.16666666666666666,10,0
