scope,metric,n_tasks,n_conditions,broad_rate,certificate_gate_rate,effect,ci_low,ci_high,broad_wrong_gate_correct,broad_correct_gate_wrong
all,protected_oracle_match,96,288,0.0798611111111111,0.3680555555555556,0.2881944444444444,0.2604166666666667,0.3125,85,2
all,constraint_followed,96,288,0.9131944444444444,0.9895833333333334,0.0763888888888889,0.03819444444444445,0.11805555555555555,22,0
aggregate_pressure_violation,protected_oracle_match,96,96,0.10416666666666667,0.10416666666666667,0.0,0.0,0.0,0,0
aggregate_pressure_violation,constraint_followed,96,96,0.96875,0.96875,0.0,0.0,0.0,0,0
compliant_suboptimal,protected_oracle_match,96,96,0.020833333333333332,0.0,-0.020833333333333332,-0.052083333333333336,0.0,0,2
compliant_suboptimal,constraint_followed,96,96,0.8854166666666666,1.0,0.11458333333333333,0.052083333333333336,0.17708333333333334,11,0
oracle_correct,protected_oracle_match,96,96,0.11458333333333333,1.0,0.8854166666666666,0.8125,0.9479166666666666,85,0
oracle_correct,constraint_followed,96,96,0.8854166666666666,1.0,0.11458333333333333,0.052083333333333336,0.17708333333333334,11,0
