scenario,institution,bills_processed,bills_passed,bills_failed,passage_rate,failure_rate,government_formed,coalition_size,confidence_votes_passed,confidence_votes_failed,bills_vetoed,gridlock_events,committee_kill_rate,committee_amendment_rate,total_committee_bills,avg_representation_distance,representation_inequality,perfect_representation_rate,num_legislators,num_parties,discipline_strength,divided_government,veto_rate
baseline,parliamentary,25,17,8,0.68,0.32,True,2,4,0,0,0,0.30434782608695654,0.13043478260869565,23,0.9229604301803357,0.513240997229917,0.0625,20,3,0.8,,
baseline,republican,25,11,14,0.44,0.56,,0,0,0,3,1,0.3684210526315789,0.15789473684210525,19,0.9229604301803357,0.513240997229917,0.0625,20,3,0.4,False,0.21428571428571427
fragmented,parliamentary,30,0,30,0.0,1.0,True,0,0,9,0,0,0.2916666666666667,0.041666666666666664,24,0.8407480805589829,0.32386421641686264,0.14285714285714285,24,5,0.8,,
fragmented,republican,30,14,16,0.4666666666666667,0.5333333333333333,,0,0,0,13,4,0.23809523809523808,0.09523809523809523,21,0.8407480805589829,0.32386421641686264,0.14285714285714285,24,5,0.4,False,0.48148148148148145
polarized,parliamentary,20,18,2,0.9,0.1,True,2,6,0,0,0,0.3333333333333333,0.16666666666666666,6,0.974236009634799,0.4612345679012346,0.25,16,2,0.8,,
polarized,republican,20,5,15,0.25,0.75,,0,0,0,2,0,0.2,0.2,10,0.974236009634799,0.4612345679012346,0.25,16,2,0.4,False,0.2857142857142857
small_system,parliamentary,15,11,4,0.7333333333333333,0.26666666666666666,True,2,3,0,0,0,0.26666666666666666,0.3333333333333333,15,0.9689981816260095,0.4561042524005487,0.16666666666666666,10,2,0.8,,
small_system,republican,15,11,4,0.7333333333333333,0.26666666666666666,,0,0,0,5,0,0.15384615384615385,0.3076923076923077,13,0.9689981816260095,0.4561042524005487,0.16666666666666666,10,2,0.4,False,0.3125
